"interview_id","application_id","interview_round","interview_type","interview_score","interview_date"
1,7948,2,"Managerial","3.41","2025-09-10"
2,9431,2,"Technical","1.10","2025-04-14"
3,10465,1,"HR","2.11","2025-08-01"
4,5134,4,"Managerial","4.05","2025-06-28"
5,11032,1,"Phone","1.96","2025-07-13"
6,3210,2,"Managerial","2.16","2025-06-03"
7,5284,2,"Managerial","2.36","2026-01-13"
8,7672,1,"HR","3.98","2025-11-24"
9,8478,3,"HR","4.31","2025-07-25"
10,8547,2,"Managerial","1.25","2025-11-21"
11,10627,1,"Phone","1.02","2025-10-18"
12,2366,4,"HR","4.69","2025-11-11"
13,6970,3,"Managerial","4.13","2025-07-24"
14,3476,4,"Managerial","1.28","2025-04-02"
15,1162,4,"Managerial","4.33","2025-06-16"
16,10024,4,"HR","4.65","2025-12-21"
17,5848,2,"HR","2.70","2025-05-20"
18,5510,4,"HR","3.48","2025-11-02"
19,7685,2,"Technical","2.45","2025-11-29"
20,1105,4,"Phone","2.74","2025-09-05"
21,9926,4,"Managerial","4.81","2026-01-14"
22,4360,2,"Phone","2.82","2025-09-05"
23,11914,4,"HR","2.65","2025-04-07"
24,7652,2,"Phone","3.47","2025-11-27"
25,6584,4,"Technical","2.90","2025-06-07"
26,10069,3,"Phone","4.93","2025-12-29"
27,2370,3,"Technical","2.01","2025-11-29"
28,501,3,"Managerial","1.95","2025-06-12"
29,4657,3,"HR","1.72","2025-11-22"
30,3620,3,"Technical","1.75","2025-06-26"
31,5197,3,"Technical","4.58","2025-07-15"
32,3913,1,"HR","4.92","2025-05-28"
33,1828,2,"Phone","1.74","2025-12-21"
34,1986,3,"HR","4.20","2026-01-04"
35,2279,1,"Technical","3.93","2025-09-15"
36,7033,3,"Managerial","3.35","2025-10-30"
37,1327,2,"Managerial","4.24","2025-12-26"
38,5019,4,"Phone","1.87","2025-08-06"
39,10286,3,"Phone","2.93","2025-05-14"
40,981,4,"Managerial","1.98","2025-12-07"
41,1448,2,"HR","1.77","2025-05-14"
42,10360,3,"Technical","2.34","2025-10-31"
43,5520,1,"Phone","2.95","2025-12-25"
44,421,1,"Technical","3.61","2025-04-03"
45,10680,1,"HR","2.71","2025-06-24"
46,8509,1,"HR","3.63","2025-11-06"
47,5091,1,"Managerial","4.84","2025-05-13"
48,1849,1,"HR","4.24","2025-09-13"
49,7895,1,"Phone","4.58","2025-06-12"
50,3290,2,"Technical","2.88","2025-05-25"
51,2216,1,"Managerial","1.10","2025-10-28"
52,9694,1,"Phone","4.88","2025-04-17"
53,981,4,"Phone","4.58","2025-07-24"
54,2954,2,"Managerial","1.87","2025-12-23"
55,1923,2,"Technical","1.17","2025-09-29"
56,3497,3,"Phone","3.79","2025-12-16"
57,1402,4,"HR","1.81","2025-07-19"
58,3804,3,"HR","4.88","2025-07-23"
59,7525,2,"HR","2.19","2025-09-15"
60,7693,1,"Technical","3.40","2025-06-07"
61,11263,1,"HR","2.48","2025-11-25"
62,8970,1,"HR","3.66","2026-01-08"
63,5267,3,"Technical","1.56","2026-01-12"
64,8832,1,"Phone","2.94","2025-06-09"
65,8736,2,"Technical","3.04","2025-06-28"
66,10259,1,"Phone","3.90","2025-09-17"
67,9868,4,"Phone","4.88","2025-11-21"
