"job_id","company_id","job_title","job_level","job_type","remote_allowed","salary_min","salary_max","location_country","posted_date"
1,72,"Data Analyst","Lead","Internship",False,51759,113066,"UK","2025-08-04"
2,139,"Data Analyst","Senior","Full-time",True,52507,142489,"UK","2025-12-21"
3,63,"Software Engineer","Lead","Internship",False,45238,126146,"UK","2025-12-29"
4,86,"Data Analyst","Lead","Full-time",False,65962,133248,"Remote","2025-07-13"
5,22,"Product Manager","Junior","Full-time",True,53994,94024,"Canada","2025-10-30"
6,105,"DevOps Engineer","Lead","Full-time",False,60814,114772,"Remote","2025-08-23"
7,85,"Product Manager","Senior","Contract",False,69728,132268,"Remote","2026-01-09"
8,113,"Product Manager","Senior","Contract",True,62207,125920,"Germany","2025-09-11"
9,113,"Data Analyst","Senior","Full-time",True,76580,112712,"India","2025-04-15"
10,89,"Product Manager","Senior","Full-time",False,49779,93170,"India","2025-03-28"
11,150,"Software Engineer","Lead","Internship",False,76253,138903,"Canada","2025-05-12"
12,17,"Software Engineer","Senior","Internship",False,53678,102209,"India","2025-08-27"
13,50,"Software Engineer","Mid","Full-time",True,56381,93611,"Remote","2025-05-08"
14,15,"Software Engineer","Junior","Full-time",True,57637,110582,"Germany","2025-12-01"
15,130,"Software Engineer","Lead","Full-time",False,48527,120455,"USA","2025-10-15"
16,13,"Software Engineer","Mid","Full-time",True,44105,94605,"Germany","2025-12-16"
17,99,"DevOps Engineer","Mid","Contract",True,68378,137456,"India","2025-04-28"
18,68,"Software Engineer","Junior","Full-time",False,60215,104405,"UK","2025-04-08"
19,86,"Product Manager","Lead","Contract",True,74948,143120,"India","2025-06-06"
20,106,"Data Analyst","Junior","Internship",False,62237,100911,"USA","2025-02-28"
21,110,"QA Engineer","Senior","Full-time",False,66721,143834,"Germany","2025-04-01"
22,1,"Product Manager","Senior","Internship",True,47615,110679,"Germany","2025-08-16"
23,75,"Software Engineer","Junior","Full-time",True,48307,111415,"USA","2025-10-24"
24,120,"Product Manager","Lead","Contract",True,69861,112493,"Canada","2025-02-03"
25,85,"Software Engineer","Senior","Internship",False,60821,120828,"India","2025-10-16"
26,86,"DevOps Engineer","Lead","Full-time",False,57735,142575,"USA","2025-06-19"
27,83,"Data Analyst","Senior","Internship",False,52434,141279,"India","2025-07-21"
28,64,"Product Manager","Junior","Internship",True,64599,97564,"USA","2025-07-13"
29,29,"DevOps Engineer","Senior","Internship",True,41998,130433,"UK","2025-08-06"
30,97,"Software Engineer","Junior","Internship",True,56924,95122,"Remote","2026-01-16"
31,121,"Product Manager","Mid","Contract",False,62370,134810,"Remote","2025-12-10"
32,6,"DevOps Engineer","Junior","Internship",False,53152,142416,"Remote","2025-02-22"
33,124,"QA Engineer","Lead","Internship",True,59550,101487,"UK","2025-10-27"
34,15,"DevOps Engineer","Lead","Full-time",False,74039,94888,"USA","2025-04-15"
35,109,"QA Engineer","Mid","Full-time",True,47336,122299,"India","2025-02-09"
36,12,"Product Manager","Junior","Internship",True,68478,110984,"UK","2025-02-08"
37,56,"QA Engineer","Junior","Contract",True,73152,113767,"Germany","2025-08-06"
38,75,"Product Manager","Senior","Full-time",False,43937,108085,"Canada","2025-05-09"
39,10,"Data Analyst","Senior","Contract",True,77493,137734,"Germany","2025-03-08"
40,6,"Data Analyst","Senior","Full-time",True,44379,108891,"India","2025-04-21"
41,105,"DevOps Engineer","Mid","Full-time",True,78941,129625,"Germany","2025-07-12"
42,7,"Data Analyst","Junior","Internship",False,68473,141783,"Remote","2025-07-26"
43,24,"Product Manager","Mid","Full-time",False,43616,112981,"Remote","2025-06-16"
44,47,"Software Engineer","Senior","Internship",False,44704,134097,"UK","2025-07-21"
45,116,"DevOps Engineer","Mid","Contract",True,45792,120825,"USA","2025-11-24"
46,131,"QA Engineer","Junior","Full-time",False,51220,114490,"USA","2025-06-16"
47,90,"Software Engineer","Junior","Internship",False,67836,126161,"Germany","2025-12-26"
48,72,"Data Analyst","Lead","Contract",False,73053,133273,"Canada","2025-02-06"
49,95,"QA Engineer","Lead","Contract",True,51530,93125,"Germany","2026-01-12"
50,61,"QA Engineer","Senior","Internship",False,67427,144207,"USA","2025-03-01"
51,41,"Product Manager","Senior","Internship",False,74250,123263,"Canada","2025-06-13"
52,67,"Software Engineer","Lead","Contract",False,65357,95184,"Canada","2025-05-05"
53,116,"Product Manager","Senior","Full-time",True,42381,109625,"Germany","2025-07-19"
54,36,"Product Manager","Senior","Internship",True,78451,144154,"Canada","2025-06-08"
