"offer_id","application_id","offered_salary","equity_offered","offer_status","offer_date"
1,7161,70589,True,"Rejected","2025-08-09"
2,1161,101891,False,"Accepted","2025-10-24"
3,223,136294,True,"Rejected","2025-12-18"
4,8577,80401,True,"Accepted","2025-09-27"
5,7480,98821,True,"Rejected","2025-12-17"
6,9202,145670,False,"Rejected","2025-12-02"
7,10298,118236,False,"Accepted","2025-08-23"
8,3323,144094,True,"Accepted","2025-12-08"
9,5663,128493,False,"Rejected","2025-12-28"
10,7807,105635,True,"Extended","2025-09-06"
11,6449,139751,True,"Rejected","2025-12-31"
12,11002,130378,True,"Accepted","2025-11-15"
13,7075,80315,False,"Accepted","2025-08-24"
14,445,103318,False,"Accepted","2025-08-18"
15,7373,147931,False,"Rejected","2025-11-29"
16,6989,84954,False,"Rejected","2025-07-26"
17,7705,81409,False,"Extended","2025-11-27"
18,7206,119079,False,"Accepted","2026-01-15"
19,8828,78369,False,"Rejected","2025-09-05"
20,9043,142616,False,"Extended","2025-08-16"
21,9568,96908,False,"Accepted","2026-01-21"
22,3585,109647,False,"Extended","2025-09-20"
23,6293,73746,False,"Extended","2026-01-02"
24,2239,81587,True,"Rejected","2025-08-29"
25,2035,144964,False,"Rejected","2025-09-03"
26,11300,101060,True,"Rejected","2025-12-18"
27,7092,78871,True,"Rejected","2025-11-06"
28,11982,131639,True,"Extended","2025-11-06"
29,6716,121537,True,"Extended","2025-09-09"
30,4555,91252,True,"Rejected","2025-10-01"
31,5759,92282,True,"Extended","2026-01-03"
32,186,102547,False,"Extended","2025-08-02"
33,7328,80199,False,"Rejected","2025-12-07"
34,4790,71512,False,"Extended","2025-12-23"
35,10828,107475,False,"Accepted","2025-10-15"
36,2526,94175,False,"Accepted","2025-08-10"
37,7932,95308,True,"Rejected","2026-01-03"
38,11589,84016,True,"Accepted","2025-12-02"
39,3012,118850,True,"Accepted","2025-08-01"
40,2386,75384,False,"Rejected","2025-12-30"
41,640,115417,True,"Extended","2025-09-07"
42,1009,103709,True,"Accepted","2025-11-24"
43,10001,109683,False,"Rejected","2025-08-03"
44,7469,109795,False,"Accepted","2025-09-04"
45,4042,88568,True,"Extended","2026-01-17"
46,5606,101001,True,"Rejected","2025-11-16"
47,10765,82841,True,"Rejected","2025-11-02"
48,11045,96009,True,"Extended","2025-11-10"
49,5128,89631,True,"Extended","2025-11-11"
50,9400,129358,False,"Accepted","2025-11-19"
51,6169,120512,False,"Rejected","2025-12-24"
52,9433,88818,True,"Extended","2025-08-30"
53,9492,71652,True,"Accepted","2025-10-18"
54,1523,89736,False,"Rejected","2025-09-21"
55,9174,106416,False,"Accepted","2025-12-28"
56,3470,117786,False,"Extended","2025-10-07"
57,1546,144155,True,"Accepted","2025-11-02"
58,3474,142438,True,"Accepted","2025-08-29"
59,6274,147586,True,"Rejected","2026-01-12"
60,1697,88689,True,"Accepted","2025-12-01"
61,6572,129322,False,"Extended","2025-09-09"
62,3564,82918,False,"Extended","2025-09-14"
63,9707,139203,False,"Accepted","2025-10-29"
64,347,134280,True,"Accepted","2025-07-28"
65,11905,136292,True,"Extended","2025-08-25"
66,35,77877,True,"Rejected","2025-11-06"
67,939,147753,False,"Rejected","2025-11-26"
68,1215,135683,False,"Extended","2025-09-21"
69,547,104468,False,"Accepted","2025-11-03"
70,518,149525,False,"Extended","2025-11-16"
71,4252,101549,True,"Accepted","2025-10-30"
72,6857,108973,True,"Accepted","2025-08-04"
73,10037,97150,False,"Accepted","2025-11-07"
74,1573,82298,False,"Accepted","2025-08-23"
75,1136,143254,False,"Accepted","2025-08-06"
76,11018,115103,False,"Extended","2025-09-08"
77,378,133377,False,"Extended","2025-11-25"
78,283,134835,False,"Accepted","2025-12-03"
79,1389,77160,True,"Rejected","2025-12-13"
80,9450,135259,False,"Accepted","2025-08-09"
81,2570,75400,True,"Extended","2025-12-08"
82,3951,139867,True,"Extended","2025-07-31"
83,7755,94439,False,"Rejected","2025-07-28"
84,4581,75311,False,"Accepted","2025-10-06"
85,2979,83600,True,"Rejected","2025-12-30"
86,10513,95060,False,"Accepted","2025-10-25"
87,4647,72232,False,"Accepted","2025-08-22"
88,9554,141940,False,"Rejected","2025-08-25"
89,5395,120477,True,"Rejected","2025-08-10"
90,4516,83290,False,"Extended","2026-01-09"
91,7798,112846,True,"Extended","2025-10-20"
92,6371,90039,False,"Accepted","2025-10-21"
